;ÖÖÖ²ÇøÓò
;µØÍ¼±àºÅ	×ø±ê	°ë¾¶
0	600	110	20
0	623	328	20
0	180	635	100
0	322	473	33
0	637	693	100
1	259	291	5
1	128	387	80
1	83	383	80
1	53	262	80
1	41	243	20
1	167	76	25
1	380	244	30
1	328	95	30
4	290	246	6
4	78	224	20
4	400	420	80
4	125	643	50
5	256	507	80
5	457	450	50
5	560	333	35
5	357	181	22
6	100	100	20
6	200	200	20
6	90	110	30
7	80	37	1
7	65	24	2
7	103	84	2
7	93	64	1
14	42	19	6
14	16	43	7
16	19	40	4
16	42	18	6
18	31	16	6
18	21	62	4
18	24	60	1
18	27	57	1
18	29	53	1
18	31	51	1
18	33	49	1
18	35	51	1
18	37	53	1
18	52	31	4

MH001	142	55	8
MH001	141	101	8
MH001	135	121	8
MH001	141	101	8
MH001	132	50	7
MH001	103	65	5
MH001	128	71	4
MH001	71	94	7
MH001	53	68	4
MH001	36	88	5
MH001	32	114	7
MH001	47	130	7
MH001	122	132	9
MH001	100	130	9
