通灵战盾|2|1|100|5|4|1|1|1|0|1|0|1|10
通灵战盾|3|1|100|5|4|2|2|2|1|2|1|1|15
通灵战盾|4|2|200|5|4|3|3|3|1|3|1|2|20
通灵战盾|5|2|200|5|4|4|4|4|2|4|2|2|25
通灵战盾|6|3|300|5|4|5|5|5|2|5|1|3|30
通灵战盾|7|3|300|5|4|6|6|6|3|6|3|3|35
通灵战盾|8|4|300|5|4|7|7|7|3|7|3|4|40
通灵战盾|9|4|300|5|4|8|8|8|4|8|4|4|45
通灵战盾|10|5|600|5|4|9|9|9|4|9|4|5|50
通灵法盾|2|1|100|7|6|1|1|1|0|1|0|1|10
通灵法盾|3|1|100|7|6|2|2|2|1|2|1|1|15
通灵法盾|4|2|200|7|6|3|3|3|1|3|1|2|20
通灵法盾|5|2|200|7|6|4|4|4|2|4|2|2|25
通灵法盾|6|3|300|7|6|5|5|5|2|5|1|3|30
通灵法盾|7|3|300|7|6|6|6|6|3|6|3|3|35
通灵法盾|8|4|300|7|6|7|7|7|3|7|3|4|40
通灵法盾|9|4|300|7|6|8|8|8|4|8|4|4|45
通灵法盾|10|5|600|7|6|9|9|9|4|9|4|5|50
通灵道盾|2|1|100|9|8|1|1|1|0|1|0|1|10
通灵道盾|3|1|100|9|8|2|2|2|1|2|1|1|15
通灵道盾|4|2|200|9|8|3|3|3|1|3|1|2|20
通灵道盾|5|2|200|9|8|4|4|4|2|4|2|2|25
通灵道盾|6|3|300|9|8|5|5|5|2|5|1|3|30
通灵道盾|7|3|300|9|8|6|6|6|3|6|3|3|35
通灵道盾|8|4|300|9|8|7|7|7|3|7|3|4|40
通灵道盾|9|4|300|9|8|8|8|8|4|8|4|4|45
通灵道盾|10|5|600|9|8|9|9|9|4|9|4|5|50
元灵战盾|2|1|100|5|4|1|1|1|0|1|0|1|10
元灵战盾|3|1|100|5|4|2|2|2|1|2|1|1|15
元灵战盾|4|2|200|5|4|3|3|3|1|3|1|2|20
元灵战盾|5|2|200|5|4|4|4|4|2|4|2|2|25
元灵战盾|6|3|300|5|4|5|5|5|2|5|1|3|30
元灵战盾|7|3|300|5|4|6|6|6|3|6|3|3|35
元灵战盾|8|4|300|5|4|7|7|7|3|7|3|4|40
元灵战盾|9|4|300|5|4|8|8|8|4|8|4|4|45
元灵战盾|10|5|600|5|4|9|9|9|4|9|4|5|50
元灵法盾|2|1|100|7|6|1|1|1|0|1|0|1|10
元灵法盾|3|1|100|7|6|2|2|2|1|2|1|1|15
元灵法盾|4|2|200|7|6|3|3|3|1|3|1|2|20
元灵法盾|5|2|200|7|6|4|4|4|2|4|2|2|25
元灵法盾|6|3|300|7|6|5|5|5|2|5|1|3|30
